Case Number,Date,Block,IUCR,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Latitude,Longitude
HM367521,1/23/02 0,077XX S GREENWOOD AVE,840,,APARTMENT,FALSE,FALSE,624,8,6,,,,
HM246598,2/1/02 0,029XX W LYNDALE ST,1752,,RESIDENCE,FALSE,FALSE,1414,35,20,1156401,1914947,41.92239897,-87.70075861
HM372043,6/15/02 0,029XX S MICHIGAN AVE,840,,APARTMENT,FALSE,FALSE,2112,2,6,,,,
HM249270,2/2/02 9,014XX E 71ST PL,840,,RESIDENCE,FALSE,FALSE,324,5,6,1187077,1857875,41.7651142,-87.58986238
HM257700,10/25/02 8,018XX W IOWA ST,840,,APARTMENT,FALSE,FALSE,1322,1,6,1163772,1906030,41.8977777,-87.6739272
HM258212,1/1/02 7,022XX S ST LOUIS AVE,840,,RESIDENCE,FALSE,FALSE,1024,22,6,1153385,1888827,41.85078357,-87.71253468
HM232458,1/1/02 0,070XX S MERRILL AVE,1754,,RESIDENCE,FALSE,FALSE,331,5,2,,,,
HM261501,2/3/02 0,051XX W FERDINAND ST,840,,RESIDENCE,FALSE,FALSE,1532,28,6,1141829,1902787,41.88931304,-87.75460261
HM266650,7/1/02 12,022XX W ARTHUR AVE,840,,RESIDENCE,FALSE,FALSE,2412,50,6,1160354,1943117,41.99961796,-87.68545147
HM389007,1/1/02 0,0000X N HAMLIN BLVD,840,,RESIDENCE,FALSE,FALSE,1122,28,6,,,,
HM389097,8/18/02 0,001XX W 61ST ST,840,,RESIDENCE,FALSE,FALSE,311,20,6,,,,
